longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,Unnamed: 8,ocean_proximity,median_house_value,,median_house_value
-117.94,34.1,31,1239,254,929,244,3.3625,,<1H OCEAN,186022,,153400
-120.96,39.12,24,2069,436,909,374,2.5326,,INLAND,111949,,139100
-117.35,33.98,31,4163,1242,3928,1076,1.6943,,INLAND,81965,,85900
-119.03,34.24,25,3655,545,1776,544,5.687,,<1H OCEAN,265537.01,,238100
-117,32.77,30,1802,401,776,386,2.8125,,<1H OCEAN,149518.01,,173500
-120.84,35.31,23,3100,603,1515,609,2.8493,,NEAR OCEAN,212066.01,,196100
-118.33,34.08,50,2989,832,1345,775,3.2426,,<1H OCEAN,319326.07,,442900
-118.05,33.81,26,2523,437,1377,450,5.2542,,<1H OCEAN,248416.01,,234600
-117.94,34.08,32,2704,514,1669,497,4.4653,,<1H OCEAN,189723,,195400
-118.8,34.27,12,3330,600,1577,584,4.6985,,<1H OCEAN,232891.01,,264100
-122,37.27,33,1664,271,759,272,5.7876,,<1H OCEAN,307483.01,,415800
-121.89,37.3,47,2355,426,961,428,5.3955,,<1H OCEAN,325767.05,,282300
-117.22,32.74,52,1260,202,555,209,7.2758,,NEAR OCEAN,440856.47,,345200
-121.49,38.59,20,463,180,486,190,1.0313,,INLAND,81222,,85000
-118.39,34.02,38,2447,636,1312,574,3.5909,,<1H OCEAN,291014.07,,279400
-119.56,36.53,19,2746,495,1670,518,3.2019,,INLAND,87117,,95700
-118.02,34.09,32,1747,399,1199,402,3.4286,,INLAND,179899,,191800
-118.59,34.21,34,2389,521,1560,514,4.8333,,<1H OCEAN,240228.01,,225400
-116.8,33.52,3,830,145,272,104,3.8281,,INLAND,209130.99,,163500
-118.19,33.85,45,1167,302,773,287,3.2798,,NEAR OCEAN,206882,,150300
-117.18,32.8,10,3821,631,1605,609,5.5454,,NEAR OCEAN,254571,,217100
-117.86,33.71,36,191,42,208,37,3.375,,<1H OCEAN,205096.02,,157500
-118.08,33.97,38,1026,190,789,193,4.2,,<1H OCEAN,171863,,163200
-117.36,34,19,4592,895,2769,838,3.3622,,INLAND,131717,,105100
-121.78,37.97,4,17032,2546,7653,2359,5.5601,,INLAND,236464,,213700
-121.27,38.13,40,2402,509,1197,486,2.1771,,INLAND,84902,,98200
-118.67,34.28,21,4059,598,2133,634,5.6949,,<1H OCEAN,261057,,235300
-121.83,37.37,43,1461,284,800,258,3.2279,,<1H OCEAN,206588,,182400
-122.53,37.92,45,1530,324,608,328,3.875,,NEAR BAY,289904.01,,390800
-117.91,33.73,26,2413,512,2867,509,4.7639,,<1H OCEAN,210825,,179900
-119.79,36.75,33,3161,934,3530,846,1.123,,INLAND,73295,,46700
-117.9,33.64,28,2466,507,1081,465,3.9375,,<1H OCEAN,279181.08,,339800
-121.01,37.66,36,3679,613,1366,581,4.5,,INLAND,199572,,151400
-122.38,40.61,14,4773,1133,2101,1072,1.7227,,INLAND,90762,,105000
-122.17,37.73,52,1555,289,620,292,3.7159,,NEAR BAY,221814.02,,183300
-117.27,34.39,6,6988,1121,3660,1092,4.2224,,INLAND,137859.99,,125700
-117.06,32.57,25,1268,282,991,299,3.0284,,NEAR OCEAN,147053,,123600
-117.9,34.07,36,1009,164,466,149,5.8519,,<1H OCEAN,262637.02,,249400
-120.48,35.05,24,2314,468,1549,463,2.8203,,<1H OCEAN,168727.03,,152600
-121.17,38.71,15,3084,557,1040,562,2.5183,,INLAND,121226,,293300
-117.17,32.73,52,408,143,313,143,1.815,,NEAR OCEAN,166284.01,,116700
-120.67,37.97,9,7450,1475,2233,930,2.6528,,INLAND,123296,,133000
-122.31,37.93,36,1526,256,696,263,3.5089,,NEAR BAY,178097,,261900
-118.08,33.77,26,2461,562,971,544,2.1944,,<1H OCEAN,179619.01,,87500
-117.08,32.74,33,3260,673,1784,666,3.5078,,NEAR OCEAN,148563,,126500
-120.65,35.41,15,6725,1111,3139,1029,4.1875,,<1H OCEAN,203276,,261600
-118.14,33.9,26,2145,471,1150,429,3.5972,,<1H OCEAN,200529,,225800
-122.62,38.25,24,2388,358,1187,362,4.6534,,<1H OCEAN,241679.01,,196500
-121.46,38.58,40,1394,397,689,353,1.7765,,INLAND,70031,,109800
-120.97,37.69,14,5514,909,2819,970,3.8598,,INLAND,149326,,174400
-118.09,33.84,27,1594,295,1061,320,4.7917,,<1H OCEAN,194442,,217700
-118.48,34.31,31,1091,256,892,238,3,,<1H OCEAN,178249,,172400
-118.68,34.33,45,121,25,67,27,2.9821,,<1H OCEAN,172165,,325000
-119.79,36.81,33,1461,261,494,254,4.25,,INLAND,126832.97,,132200
-117.95,34.06,32,2252,415,1370,411,4.6312,,<1H OCEAN,203419,,184800
-118.42,34.24,17,2049,548,2243,541,2.525,,<1H OCEAN,174692,,163700
-118.36,33.97,19,4651,1281,2917,1121,2.6823,,<1H OCEAN,183099,,142500
-119.04,35.32,20,37,11,34,8,1.2,,INLAND,97147,,50000
-118.02,34.15,44,2267,426,980,372,3.6,,INLAND,216474,,307400
-117.21,33.2,22,3337,518,1288,466,5.04,,<1H OCEAN,250194.04,,253700
-118.39,33.87,19,3303,584,1329,569,7.521,,<1H OCEAN,378672.14,,340400
-119.79,36.31,25,4984,1029,2414,961,2.2937,,INLAND,80125,,72300
-118.17,34.05,35,1256,294,2990,302,3.1528,,<1H OCEAN,154278,,121800
-122.08,37.88,26,2947,,825,626,2.933,,NEAR BAY,191765.01,,85000
-118.22,33.98,36,1514,453,1496,448,2.1044,,<1H OCEAN,131189,,148200
-120.72,38.57,8,892,185,427,164,2.6833,,INLAND,129647,,118800
-121.66,37.93,19,2055,358,1064,350,4.7426,,INLAND,169627,,263100
-118.42,34.01,29,1996,489,960,449,3.6611,,<1H OCEAN,329493.09,,344200
-117.78,33.68,19,2500,331,1027,327,6.115,,<1H OCEAN,260127,,315600
-118.42,34.32,30,3027,604,1970,590,4.3409,,<1H OCEAN,199842,,156000
-117.09,32.66,46,844,147,423,161,3.375,,NEAR OCEAN,140754,,136300
-122.28,37.9,52,2318,328,779,312,7.1754,,NEAR BAY,390798.22,,362900
-117.65,34.06,41,1171,334,1479,334,2.25,,INLAND,98727,,90500
-121.98,37.35,36,1054,193,546,187,4.5625,,<1H OCEAN,248814,,240000
-117.27,32.82,42,2820,488,1175,500,4.5083,,NEAR OCEAN,380408.26,,405200
-119.19,34.17,35,4276,767,3295,708,4.2583,,NEAR OCEAN,284346.03,,187300
-117.11,32.78,16,2220,512,930,527,3.6528,,NEAR OCEAN,161470,,133200
-122.11,38.01,39,1313,306,575,231,3.1711,,NEAR BAY,135007,,116100
-118.17,33.91,42,856,167,748,195,3.8,,<1H OCEAN,159412,,145800
-118.16,34.71,27,6007,998,2680,882,4.1719,,INLAND,142848.98,,117200
-122.26,37.87,52,1087,371,3337,350,1.4012,,NEAR BAY,145593.01,,175000
-117.26,32.98,12,3900,977,1690,892,4.125,,NEAR OCEAN,256086.06,,226900
-117.93,34.04,23,6361,1168,4580,1109,4.9342,,<1H OCEAN,238459.01,,181000
-122.19,37.77,52,2329,445,1144,417,3.5114,,NEAR BAY,232571,,151200
-122.06,37.63,12,6711,1374,3388,1289,3.8625,,NEAR BAY,200071.01,,208900
-118.3,33.73,40,2582,606,1304,588,3.5694,,NEAR OCEAN,286859,,276400
-118.28,34.05,44,968,384,1805,375,1.4801,,<1H OCEAN,138273,,212500
-117.77,33.69,15,500,113,261,116,5.0631,,<1H OCEAN,229233.01,,154000
-117.14,32.76,35,1785,493,965,506,2.0792,,NEAR OCEAN,141281,,160000
-118.61,34.31,4,1949,458,868,398,5.0151,,<1H OCEAN,216874,,285200
-118.29,34.01,42,814,223,511,188,2.3942,,<1H OCEAN,145575,,123200
-122.36,38.03,32,2159,393,981,369,4.3173,,NEAR BAY,205704,,175400
-122.61,38.09,18,6205,821,2311,756,6.9081,,<1H OCEAN,359069.12,,368700
-117.22,32.75,34,6001,1111,2654,1072,4.5878,,NEAR OCEAN,268976.18,,291000
-117.88,33.84,25,1781,349,918,378,3.9286,,<1H OCEAN,218915,,262700
-117.34,33.71,10,2591,486,1255,425,3.1513,,<1H OCEAN,193469.01,,154300
-122.09,37.65,35,1184,200,572,194,4.7143,,NEAR BAY,228248,,193800
-121.93,37.25,21,1354,289,639,273,4.5333,,<1H OCEAN,254693,,234200
-121.96,37.74,2,200,20,25,9,15.0001,,<1H OCEAN,404110.55,,350000
-117.77,34.08,27,5929,932,2817,828,6.0434,,INLAND,238959,,214800
-118.09,34.15,49,1467,259,688,260,4.3452,,INLAND,223360.93,,260100
-119.71,36.88,17,2236,315,992,312,6.9405,,INLAND,222901,,165200
-124.21,41.77,17,3461,722,1947,647,2.5795,,NEAR OCEAN,120748,,68400
-123.72,41.09,19,1970,431,1166,363,1.8208,,<1H OCEAN,94989,,50000
-118.14,34.2,39,2569,426,1282,432,5.0953,,INLAND,277676,,207400
-119.05,36.09,9,3297,568,1749,568,4.0217,,INLAND,108940,,99200
-118.09,34.15,52,670,141,268,110,3.5568,,INLAND,263829,,205000
-118.36,34.16,45,1755,335,822,342,5.1423,,<1H OCEAN,284672.01,,322900
-118.57,34.17,31,1950,383,870,357,3.1875,,<1H OCEAN,218591,,500001
-120.86,37.76,32,964,198,623,201,3.0917,,INLAND,123511,,88900
-121.19,39.55,17,1483,284,481,211,1.4896,,INLAND,79488,,83300
-118.31,34.06,14,1559,646,1639,567,1.9949,,<1H OCEAN,227803.06,,380000
-117.06,33.09,11,7483,1276,3516,1261,4.0484,,<1H OCEAN,179088,,262500
-122.25,37.8,42,4120,1065,1715,1015,2.9345,,NEAR BAY,217180.02,,225000
-116.17,33.66,22,639,203,664,153,1.9306,,INLAND,66023,,47500
-117.04,34,25,3750,781,1594,785,2.4167,,INLAND,104830,,104900
-119.34,36.62,26,1922,339,1148,332,2.6058,,INLAND,80359,,92200
-119.76,36.74,52,2137,448,1194,444,1.3029,,INLAND,53000,,69100
-120.43,34.7,26,2353,389,1420,389,3.87,,NEAR OCEAN,191546,,125800
-122.49,37.98,34,1256,178,460,174,6.4271,,NEAR BAY,311223.08,,451700
-118.24,33.97,37,1212,314,1403,279,2.5536,,<1H OCEAN,127689,,117200
-121.63,40.92,23,1922,411,872,350,2.2337,,INLAND,78577,,64500
-122.36,37.93,17,1258,254,885,229,3.05,,NEAR BAY,146885,,121600
-118.33,33.98,38,3063,796,2153,721,1.8472,,<1H OCEAN,169846.01,,149100
-118.17,34.06,36,871,201,2862,181,2.1845,,<1H OCEAN,140025,,123800
-117.35,33.95,28,1650,210,557,211,7.6632,,INLAND,360011.23,,204800
-122.07,37.95,39,2199,388,1025,385,4.5893,,NEAR BAY,230371.02,,190000
-121.79,37.33,18,3611,614,2381,642,5.6345,,<1H OCEAN,255096.01,,231000
-121.83,36.61,27,2248,466,1644,453,3.2545,,<1H OCEAN,183616,,131200
-122.07,37.86,23,1025,205,263,191,3.12,,NEAR BAY,166594,,155000
-122.26,37.52,34,483,131,291,157,3.0833,,NEAR OCEAN,201663,,256300
-118.19,34.04,45,963,234,1194,239,2.1806,,<1H OCEAN,137910,,134900
-119.81,34.44,14,961,305,662,286,3.2115,,NEAR OCEAN,206556,,206300
-118.09,33.96,36,1116,229,719,233,3.425,,<1H OCEAN,167251,,163200
-122.08,37.64,30,5267,1253,4065,1113,3.3479,,NEAR BAY,199486,,182100
-121.58,39.83,16,4591,904,1904,812,2.2419,,INLAND,92048,,93200
-122.79,39.09,20,1798,395,685,331,1.625,,INLAND,74551,,66800
-118.2,33.88,40,1699,346,1188,329,4.2083,,<1H OCEAN,192315.01,,147300
-117.95,33.82,35,1068,190,514,174,4.0735,,<1H OCEAN,191816.02,,208700
-122.12,37.29,11,436,70,212,75,8.6196,,<1H OCEAN,373285.27,,500001
-117.11,32.68,36,26,14,58,23,1.9107,,NEAR OCEAN,157654,,125000
-118.32,34.16,49,1074,170,403,208,6.2547,,<1H OCEAN,336927.03,,366700
-117.97,34.08,30,2227,474,1961,481,3.3261,,INLAND,159257,,164100
-117.96,34.07,35,2819,529,1508,485,4.6118,,<1H OCEAN,207933.02,,191700
-117.29,33.08,18,3225,515,1463,476,5.7787,,NEAR OCEAN,316526.11,,346700
-122.08,37.24,21,427,63,182,70,11.3283,,<1H OCEAN,466889.83,,500001
-119.73,36.62,35,2080,365,1026,333,3.5781,,INLAND,85771,,92800
-118.55,34.03,35,9075,1858,3646,1724,6.0307,,<1H OCEAN,455791.65,,500001
-122.43,37.79,52,3219,969,1152,830,4.2042,,NEAR BAY,469243.27,,500001
-121.3,38.13,23,2864,504,1298,499,3.2303,,INLAND,115551,,131800
-121.67,39.14,22,2264,390,1056,403,3.6111,,INLAND,124533,,112300
-117.24,32.71,32,4164,701,1277,607,6.6661,,NEAR OCEAN,401128.21,,500001
-118,33.88,18,2628,720,2276,649,2.735,,<1H OCEAN,174916,,170800
-119.48,35.17,36,116,20,39,18,3.125,,INLAND,124250,,37500
-118.11,34.16,52,2489,437,1101,438,4.2065,,INLAND,208771.93,,320300
-118.08,33.89,33,2131,435,2045,426,4,,<1H OCEAN,180894,,145700
-118.32,34,50,3250,693,2300,675,1.95,,<1H OCEAN,153545,,112600
-117.11,32.75,18,1943,587,1329,522,1.7696,,NEAR OCEAN,122869,,103100
-121.82,39.76,23,6010,1116,2710,1149,3.0068,,INLAND,110078,,107300
-122.28,37.89,52,2070,329,722,306,5.4171,,NEAR BAY,332557.04,,292000
-118.17,33.78,23,3768,1261,3940,1098,1.9647,,NEAR OCEAN,149946,,186200
-119.27,34.27,52,1577,343,836,335,3.5893,,NEAR OCEAN,238214.01,,206600
-118.87,35.37,14,2458,433,1352,411,3.5441,,INLAND,100679,,87000
-121.28,38.61,23,2547,504,1235,469,2.4722,,INLAND,107909,,103300
-118.07,34.1,34,2253,522,1262,511,3.4375,,<1H OCEAN,213765,,259800
-118.19,34.22,32,10626,1504,4353,1482,9.8413,,<1H OCEAN,489462.54,,500001
-122.38,40.67,10,2281,444,1274,438,2.212,,INLAND,87774,,65600
-122.26,37.85,52,2202,434,910,402,3.2031,,NEAR BAY,230138,,281500
-121.49,38.49,26,4629,832,2902,816,2.735,,INLAND,116576,,74600
-122.05,37.93,15,7803,1603,2957,1546,4.45,,NEAR BAY,229014,,184900
-122.06,37.7,37,1893,310,821,315,4.6005,,NEAR BAY,232443,,231600
-122.02,37.36,21,2471,677,1486,689,3.9038,,<1H OCEAN,256134,,243800
-121.92,37.34,35,357,120,377,99,3.0139,,<1H OCEAN,186173,,204200
-122.04,37.65,10,8299,1326,3827,1288,6.2579,,NEAR BAY,309352.02,,315500
-116.37,33.72,17,8626,1859,3497,1337,3.312,,INLAND,151319,,121300
-123.41,41.6,23,1654,369,669,273,1.965,,INLAND,72612,,65400
-121.62,36.69,11,4712,1098,5982,1105,2.5986,,<1H OCEAN,137386,,135700
-120.1,39.17,33,1849,384,218,92,1.7083,,INLAND,111160,,143800
-117.34,34.12,26,1008,164,568,196,3.3516,,INLAND,111236,,105600
-119.26,35.87,24,1590,390,1686,372,1.6469,,INLAND,51934,,47600
-117.86,33.99,10,17820,2812,8686,2666,6.3875,,<1H OCEAN,308033.03,,310700
-118.34,34.04,37,1466,529,1835,500,1.7014,,<1H OCEAN,162971,,123200
-122.35,37.94,47,1275,275,844,273,2.8967,,NEAR BAY,135508,,95600
-118.17,33.83,46,1362,214,531,222,4.3125,,NEAR OCEAN,255990,,290500
-118.21,33.81,40,1815,428,1807,413,3.0882,,NEAR OCEAN,167963,,160700
-120.58,39.27,15,4126,903,723,266,3.0147,,INLAND,133769,,118800
-118.47,34.24,19,2405,661,1855,621,2.3111,,<1H OCEAN,188164.02,,255400
-122.29,37.82,2,158,43,94,57,2.5625,,NEAR BAY,151310,,60000
-122.25,37.49,44,4420,743,1790,735,6.142,,NEAR OCEAN,390798.06,,394700
-116.22,33.74,26,4120,858,2918,815,3.3107,,INLAND,127158,,69400
-122.48,37.76,52,2684,574,1395,549,3.9097,,NEAR BAY,344025.01,,323800
-119.16,34.23,26,5444,1293,3700,1158,2.7556,,NEAR OCEAN,185240,,213200
-122.59,38.04,25,3412,455,1238,406,8.3646,,NEAR BAY,400385.21,,397300
-121.98,37.27,29,2658,484,1318,498,5.3561,,<1H OCEAN,294861.02,,298900
-118.41,34.23,35,1026,195,753,185,4.5909,,<1H OCEAN,208383,,179200
-117.24,32.74,45,1718,293,757,329,4.05,,NEAR OCEAN,329039.06,,284900
-118.3,33.87,31,1398,261,823,263,5.0641,,<1H OCEAN,229990,,234900
-122.23,37.76,52,3037,516,1242,518,5.2128,,NEAR BAY,349276.09,,289900
-117.84,33.8,34,2004,331,843,328,3.59,,<1H OCEAN,218671.01,,230600
-118.9,34.17,14,4719,734,1880,731,5.3558,,<1H OCEAN,343161.09,,313800
-117.13,32.92,16,2173,399,1460,393,4.2614,,<1H OCEAN,176600,,169600
-118.35,33.94,38,1794,508,2188,454,2.6654,,<1H OCEAN,165062,,142200
-122.4,37.72,40,1948,413,1434,396,3.0313,,NEAR BAY,214524.01,,219100
-118.29,33.74,29,1503,411,1368,390,2.1473,,NEAR OCEAN,155841.02,,195300
-118.35,34.32,52,102,29,54,32,1.9875,,<1H OCEAN,233122.01,,191700
-121.08,39.21,17,3033,590,1319,583,2.4811,,INLAND,127366,,111800
-118.03,33.94,30,2572,521,1564,501,3.4861,,<1H OCEAN,183793,,177200
-117.18,32.74,39,3132,738,1200,690,2.5288,,NEAR OCEAN,205543.02,,274000
-121.43,38.56,50,1533,288,532,257,2.5417,,INLAND,94943,,125900
-117.06,32.68,36,3815,796,2945,728,2.0959,,NEAR OCEAN,129694,,125000
-122.11,37.71,36,4569,824,1950,819,4.65,,NEAR BAY,243576.01,,206800
-116.97,33.74,20,3674,792,1498,758,2.2161,,INLAND,93731,,76900
-117.81,33.73,19,4022,975,2334,954,3.0305,,<1H OCEAN,175011,,140600
-119.19,34.19,35,2599,552,2726,543,3.2212,,NEAR OCEAN,225348.01,,180500
-116.5,33.95,10,7249,1882,4274,1621,1.6983,,INLAND,102831,,66600
-122.35,38.3,18,3735,557,1504,521,5.6304,,NEAR BAY,290176.03,,243100
-122.23,37.76,52,1705,246,658,253,5.75,,NEAR BAY,327755,,306300
-121.99,38.36,33,146,31,75,31,3.5179,,INLAND,126107,,84400
-121.55,38.55,10,6227,1164,2909,1077,4.106,,INLAND,153043,,115900
-119.44,36.6,5,2353,608,2505,573,2.2863,,INLAND,90807,,69200
-122.55,38.1,26,5188,892,2341,906,5.0029,,NEAR BAY,269371.01,,255600
-117.01,32.72,12,2914,734,2104,703,2.3068,,NEAR OCEAN,131517.03,,132300
-118.49,34.03,31,3155,808,1208,745,3.6769,,<1H OCEAN,353007.18,,450000
-118.11,33.82,37,1987,347,1095,357,4.3203,,<1H OCEAN,218766,,232800
-122.05,37.95,27,3513,791,1875,694,3.1838,,NEAR BAY,157144,,182000
-116.76,33.46,6,1251,268,544,216,3.0694,,INLAND,187835,,173400
-117.43,33.81,13,4770,718,1985,662,4.2273,,INLAND,145067,,295200
-118.38,34.05,52,2053,480,900,417,3.0707,,<1H OCEAN,332248.2,,417900
-121.32,38.74,14,1449,228,670,232,4.3897,,INLAND,138222,,186300
-116.96,32.8,25,3421,803,1681,742,3.369,,<1H OCEAN,158777,,134400
-117.17,33.66,2,7401,1187,2826,839,4.1386,,<1H OCEAN,194686,,177300
-122.47,37.7,45,3290,693,2466,666,3.6588,,NEAR OCEAN,287633.01,,238600
-121.07,39.04,9,2374,372,884,333,4.5042,,INLAND,164191,,206400
-117.64,34.07,43,1970,379,1036,391,3.2083,,INLAND,126807,,122800
-117.36,33.98,46,1680,453,1570,435,2.0436,,INLAND,74186,,82300
-119.17,34.29,18,3932,724,1896,680,5.2953,,NEAR OCEAN,286744.04,,279400
-119.06,36.15,20,1282,273,852,247,1.6354,,INLAND,59243,,49000
-122.23,37.46,26,4670,1039,2103,933,4.4167,,NEAR OCEAN,343419,,333800
-118.1,34.09,44,2352,484,1517,463,4.2833,,<1H OCEAN,255049.02,,258000
-117.14,32.81,34,1748,294,800,294,4.4886,,NEAR OCEAN,192529.01,,179100
-118.01,34.07,24,5684,1485,6626,1481,2.2559,,INLAND,116412,,166800
-118.09,34.08,34,1513,384,986,336,2.6901,,<1H OCEAN,184984,,235600
-118.46,34.18,35,1819,465,1336,419,3.4583,,<1H OCEAN,190997,,253200
-117.95,33.97,33,1113,145,424,137,8.3474,,<1H OCEAN,472919.79,,500001
-118.84,34.21,16,4975,949,2537,971,5.2361,,<1H OCEAN,253371.01,,224700
-122.04,38,16,3077,733,1447,709,3.2484,,NEAR BAY,185113,,91100
-122.2,38.04,31,3029,500,1236,487,5.6022,,NEAR BAY,284678.02,,197000
-121.39,38.43,3,2696,384,990,316,5.4445,,INLAND,197892,,237600
-119.68,36.81,13,2589,413,1356,435,5.0253,,INLAND,121973,,106200
-121.24,37.95,36,361,63,169,62,3.7734,,INLAND,145877,,63800
-118.23,33.98,25,986,310,1439,251,2.39,,<1H OCEAN,147513,,183300
-119.74,36.71,17,5872,1250,5034,1224,2.1905,,INLAND,77719,,61800
-117.7,34.05,24,2834,470,1815,471,4.7357,,INLAND,165900,,162500
-122.42,37.66,28,3520,672,1746,602,4.9236,,NEAR OCEAN,277282.01,,273500
-118.13,34.08,34,3848,991,2814,972,2.6716,,<1H OCEAN,189512,,227100
-118.04,34.17,52,1885,401,764,373,4.0385,,INLAND,223876.99,,265700
-119.77,36.83,16,2360,355,1034,359,5.0635,,INLAND,127197,,108500
-122.07,37.35,35,1579,210,570,196,8.5888,,<1H OCEAN,491788.92,,500001
-118.35,34.18,46,2711,491,1277,490,4.282,,<1H OCEAN,239836,,224700
-117.15,32.91,10,2349,431,1598,435,4.8229,,<1H OCEAN,198032,,183200
-120.33,38.26,13,2962,546,252,103,4.4063,,INLAND,163419,,155800
-121.33,37.96,20,1727,386,730,342,2.5195,,INLAND,107374,,92600
-118.17,34.04,46,705,167,655,149,3.5938,,<1H OCEAN,162461,,141100
-116.99,34.89,24,2741,577,1551,522,3.474,,INLAND,101421,,70500
-120.44,38.61,9,2598,548,796,297,3.5192,,INLAND,124245,,98000
-121.33,38.03,10,629,140,635,146,2.2961,,INLAND,123247,,126700
-118.24,33.98,45,173,42,230,57,3.0724,,<1H OCEAN,134586,,110700
-119.71,34.44,41,2220,367,927,355,5.3184,,<1H OCEAN,306113.01,,376000
-120.86,35.39,23,1664,355,629,279,2.7344,,NEAR OCEAN,176468,,188300
-121.46,38.56,52,907,180,479,177,2.2125,,INLAND,79665,,104000
-120.94,37.4,32,1175,208,774,222,3,,INLAND,111742,,109400
-118.28,33.98,45,1720,416,1382,365,0.9337,,<1H OCEAN,104409,,92300
-118.41,34.16,32,3060,505,1159,510,6.3703,,<1H OCEAN,384479.25,,465800
-121.29,38.13,31,1008,212,453,195,2.3917,,INLAND,105274,,113500
-117.11,33.19,15,3154,488,1656,429,5.0461,,<1H OCEAN,223764,,222400
-120.88,37.53,18,239,39,92,36,5.3168,,INLAND,185086,,175000
-118.42,34,31,1930,456,1002,410,3.9798,,<1H OCEAN,324614.08,,458600
-123.07,38.46,31,855,217,280,139,2.3611,,NEAR OCEAN,135182,,112500
-122,37.39,36,1236,229,880,247,5.791,,<1H OCEAN,303779.03,,239400
-120.92,37.63,39,45,8,22,9,1.7679,,INLAND,129915,,450000
-121.74,38.56,18,3960,1151,2248,1144,1.7257,,INLAND,84303,,179100
-120.39,36.78,11,1947,488,2104,486,1.7184,,INLAND,72764,,55200
-122.59,38.44,14,1665,390,505,348,3.183,,<1H OCEAN,170973,,201200
-122.41,37.74,52,2058,399,1208,399,3.6429,,NEAR BAY,304471,,230000
-121.45,38.53,34,1893,415,884,395,2.1679,,INLAND,91231,,75400
-118.15,34.13,30,2763,520,1143,465,4.7298,,<1H OCEAN,271184.06,,500001
-121.27,38.67,15,2116,524,866,519,2.7388,,INLAND,112199,,111600
-120.44,36.84,29,1563,293,883,288,2.8182,,INLAND,87301,,90500
-122.73,38.43,15,3265,690,1629,629,3.7132,,<1H OCEAN,229667.01,,167600
-119.12,35.39,13,1264,202,552,187,4.5903,,INLAND,124095,,94300
-118.1,33.99,36,1529,290,1271,287,3.6875,,<1H OCEAN,168450,,175200
-119.57,36.7,34,1759,354,899,337,2.6823,,INLAND,80015,,72900
-117.65,33.59,8,2649,340,1238,354,8.0409,,<1H OCEAN,360595.09,,337900
-119.8,36.75,41,1659,466,1391,447,1.3527,,INLAND,51876,,61200
-121.42,38.51,21,3249,666,2611,663,1.9423,,INLAND,86020,,87800
-119.56,36.51,9,3860,809,2157,770,2.5033,,INLAND,97620,,70100
-122.41,37.79,52,1436,738,1688,662,1.5156,,NEAR BAY,296062.09,,237500
-117.86,34.1,29,1185,197,588,196,5.0832,,<1H OCEAN,252091,,196900
-118.33,33.97,47,1830,369,922,377,4.1635,,<1H OCEAN,198502,,156400
-121.51,38.51,33,2918,439,1085,427,5.5208,,INLAND,218014,,171300
-118,33.89,35,1011,183,578,171,3.9861,,<1H OCEAN,174038,,188700
-117.82,33.9,25,1137,170,524,164,7.5744,,<1H OCEAN,389005.33,,259300
-117.15,32.8,27,1937,537,1211,482,2.75,,NEAR OCEAN,184639,,87500
-117.79,33.69,16,1532,240,679,248,5.7115,,<1H OCEAN,229343.01,,313900
-117.09,33.13,9,5685,1442,3773,1250,3.0426,,<1H OCEAN,156428,,129900
-122.38,37.71,47,1088,190,558,166,4.2708,,NEAR BAY,244509.06,,207100
-119.84,37.48,17,2582,553,1087,423,2.5,,INLAND,93745,,104200
-121.96,37,20,3847,727,1725,737,3.3447,,NEAR OCEAN,247803,,305200
